Target_HDS,Drug_Descriptor,Indication,Publication_Count,News_Count,Geography,Therapy_Area,Count_Trials,Grants,Alliances,Transactions,Total_Amount,Hot/Not
2,18,21,0,0,0,12,0,0,0,2,204.2658,0
2,24,2,5,0,0,10,0,0,0,0,0,0
2,10,2,2,0,0,10,0,0,1,0,0,0
3,20,2,26,19,0,10,4,0,2,4,504.29,1
3,12,2,2000,0,0,10,0,0,1,2,2795.005,1
2,24,2,5,0,0,10,0,0,0,0,0,0
3,20,2,26,19,0,10,4,0,2,4,504.29,1
2,4,2,0,0,0,10,0,0,0,0,0,0
3,12,2,2000,3,0,10,3,0,2,1,39066.87,1
3,12,2,2000,0,0,10,0,0,1,2,2795.005,1
2,3,21,6,0,0,12,0,1,0,1,5.0387,0
2,18,21,0,0,0,12,0,0,0,2,204.2658,0
4,13,2,7,0,0,10,10,0,2,0,2331,1
2,24,2,0,0,0,10,0,1,0,0,0.6475,0
2,20,2,3,1,0,10,0,0,2,2,184,0
4,22,2,54,8,0,10,6,0,2,2,700.0238,1
2,24,19,3,0,0,7,0,0,0,0,0,0
2,24,7,1,0,0,11,0,0,1,0,0,0
2,24,7,0,0,0,11,0,0,0,0,0,0
4,20,7,2000,2,0,11,0,0,3,2,2.9767,1
3,20,7,54,5,0,11,9,0,3,1,1912.8,1
4,24,7,54,0,0,11,1,0,0,0,0,1
2,20,21,2000,3,1,12,7,0,0,0,0,1
0,24,21,2000,3,0,12,7,0,2,3,963.2814,1
2,20,0,2000,3,0,12,7,0,0,0,0,1
0,14,7,2000,6,0,11,7,0,2,3,963.2814,1
0,24,7,2000,3,0,11,7,0,2,3,963.2814,1
0,14,0,2000,0,0,6,0,0,1,3,951.4814,1
2,24,17,2,1,0,0,0,0,0,0,0,0
2,24,17,0,0,0,0,0,0,0,0,0,0
2,22,17,3,0,0,0,0,0,0,0,0,0
2,24,17,1,0,0,0,0,0,0,0,0,0
2,22,17,0,0,0,0,0,0,0,0,0,0
2,20,17,2,0,0,0,0,0,0,0,0,0
4,24,17,2000,3,1,0,0,1,1,0,0.5867,1
2,20,17,2,0,0,0,0,0,1,1,3.3,0
4,11,2,2000,0,0,10,0,0,0,1,12.8625,1
4,14,0,7,0,0,6,0,0,0,0,0,1
3,7,2,2000,2,1,10,2,0,0,2,949.3,1
2,17,12,2,1,0,7,5,0,0,1,64.44,0
3,7,2,2000,2,1,10,2,0,0,2,949.3,1
4,20,2,54,1,0,10,3,0,2,1,4546.12,1
2,3,21,6,0,0,7,0,1,0,1,5.0387,0
2,24,3,1,0,0,1,0,0,0,0,0,0
2,6,23,3,0,0,9,0,0,1,0,0,0
4,20,23,0,0,0,9,0,0,0,0,0,1
4,14,23,7,0,0,9,0,0,0,0,0,1
4,6,23,2000,0,0,9,0,1,1,3,638.2242,1
2,24,23,0,0,0,9,0,0,1,1,9.2,0
2,24,21,6,0,0,12,0,0,0,0,0,0
2,6,21,2,0,0,12,0,0,0,0,0,0
2,6,21,2,0,0,12,0,0,0,0,0,0
2,6,21,2,0,0,12,0,0,0,0,0,0
2,6,21,2,0,0,12,0,0,0,0,0,0
2,6,21,2,0,0,12,0,0,0,0,0,0
4,20,21,0,0,0,12,0,0,0,0,0,1
2,20,21,4,0,0,12,0,0,2,0,32.2055,0
0,14,21,2000,6,0,12,10,0,3,3,963.2814,1
2,24,1,5,1,1,1,3,0,0,0,0,0
4,20,24,7,0,0,2,0,0,2,0,2331,1
1,6,3,2000,5,0,1,5,0,0,2,968.24,1
3,6,11,2000,5,0,6,4,0,2,0,200,1
3,20,11,2000,3,0,6,6,0,0,0,0,1
4,14,11,2000,0,0,6,0,0,0,0,0,1
2,14,11,0,0,0,6,0,0,0,1,152.3974,0
2,14,11,0,0,0,6,0,0,0,1,152.3974,0
4,14,11,2000,0,0,6,1,0,0,0,0,1
2,4,12,5,0,0,7,0,0,0,0,0,0
2,3,12,0,0,0,7,0,0,0,0,0,0
2,3,12,0,0,0,7,0,0,1,1,2.3,0
